material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3,gating_efficiency_eta,quantum_proxy,dielectric_proxy,surface_proxy,debye_length_nm_physio_0p15M,loc_ooc_score_physio_0p15M_2nm,loc_ooc_score_physio_0p15M_5nm,loc_ooc_score_physio_0p15M_10nm,debye_length_nm_diluted_0p01M,loc_ooc_score_diluted_0p01M_2nm,loc_ooc_score_diluted_0p01M_5nm,loc_ooc_score_diluted_0p01M_10nm,loc_ooc_score_robust_min,loc_ooc_score_main
mp-1223847,K2PdBrCl3,"Br,Cl,K,Pd",4,1.4958,0.002190467142856,-1.6585691784999992,2.726319700259406,7,1.0,0.0,a,0,0,32,40,,True,0.0,1.0,a,0.9999755003001224,0.955635042665812,0.9999672774556873,1.0,0.4159559630546695,47,0.6973684210526316,0.8396103668798625,0.6666666666666666,0.4006731308598445,0.36679484064354273,0.25,0.7849246248313698,0.0019163427019005422,4.193625665497803e-05,7.179879170818487e-08,3.0399999999999996,0.012686509049316324,0.004728920933386063,0.0009129813752484005,7.179879170818487e-08,4.193625665497803e-05
mp-1078085,Cs2PdCl4,"Cl,Cs,Pd",3,1.839,0.0,-1.572084017142858,3.239031241324765,7,1.0,0.0,a,0,0,32,40,,True,0.0,1.0,a,0.8524740586700582,1.0,0.8028481188476252,1.0,0.3936168491059869,37,0.8289473684210527,0.812330136375209,0.6666666666666666,0.3522367030644593,0.30873428673414083,0.3333333333333333,0.7849246248313698,0.0018906796353657404,4.1374659324975476e-05,7.083728457958093e-08,3.0399999999999996,0.012516615258657647,0.004665592692340792,0.00090075501210636,7.083728457958093e-08,4.1374659324975476e-05
mp-22934,K2PtCl4,"Cl,K,Pt",3,1.819599999999999,0.0,-1.507347296785714,3.378281991785835,7,1.0,0.0,b,32,0,0,40,,True,0.0,1.0,b,0.8677367542022334,1.0,0.8232450022146293,1.0,0.3768953566553882,37,0.8289473684210527,0.8140850587268402,0.6666666666666666,0.3546602354943965,0.29600844524863884,0.3333333333333333,0.7849246248313698,0.0018252193984208583,3.9942161215689634e-05,6.838471390268016e-08,3.0399999999999996,0.01208325754683083,0.004504057762035236,0.0008695685353395724,6.838471390268016e-08,3.9942161215689634e-05
mp-574040,K2SnBr6,"Br,K,Sn",3,1.6124,0.0,-1.544271811611111,3.70306395236049,18,1.0,0.0,c,8,8,0,88,,True,0.0,1.0,c,0.9826061612737756,1.0,0.9767551009737874,1.0,0.3864329574558086,48,0.6842105263157895,0.8398964193661875,0.6666666666666666,0.38278977185729596,0.27004664593020533,0.3333333333333333,0.7849246248313698,0.0017972048765247637,3.932910584770353e-05,6.733510580261163e-08,3.0399999999999996,0.011897796728578127,0.0044349268811641595,0.0008562218950427942,6.733510580261163e-08,3.932910584770353e-05
mp-1079673,ThSe3,"Se,Th",2,1.2728,0.0,-1.585264253046872,6.455077314213163,8,1.0,0.0,c,24,12,0,36,,True,0.0,1.0,c,0.9308154749874572,1.0,0.9075426485958822,1.0,0.3970213035477657,28,0.9473684210526316,0.851026764963787,0.6666666666666666,0.4399859204505456,0.1549168121965235,0.5,0.7849246248313698,0.0017775714481767008,3.889945801414802e-05,6.659950854692134e-08,3.0399999999999996,0.011767820150714587,0.0043864778588586974,0.000846868163898423,6.659950854692134e-08,3.889945801414802e-05
mp-1173753,Na2Ga2Se3,"Ga,Na,Se",3,1.362699999999999,0.0,-1.053090094255693,4.158191571357681,14,1.0,0.0,c,16,16,0,76,,True,0.0,1.0,c,0.9741574385092296,1.0,0.9654643291395912,1.0,0.2595607382065313,44,0.736842105263158,0.8169624404525199,0.6666666666666666,0.42324459305032397,0.24048916045334884,0.3333333333333333,0.7849246248313698,0.001769641933458016,3.872593259822821e-05,6.630241681324072e-08,3.0399999999999996,0.011715325437667951,0.004366910352426996,0.0008430903953157278,6.630241681324072e-08,3.872593259822821e-05
mp-1146,ThS2,"S,Th",2,1.033599999999999,0.0,-2.284807075208329,7.252511887947037,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.739246721207306,1.0,0.6515324622314281,1.0,0.5777131883870085,32,0.8947368421052632,0.8178994374457851,0.6666666666666666,0.49173878835562573,0.1378832624406865,0.5,0.7849246248313698,0.001768217776441811,3.869476707961333e-05,6.624905853193496e-08,3.0399999999999996,0.011705897280138605,0.00436339598836274,0.000842411900373286,6.624905853193496e-08,3.869476707961333e-05
mp-1223861,K2PdBr3Cl,"Br,Cl,K,Pd",4,1.3535,0.002553047142857,-1.539957979928571,3.140649133258201,7,1.0,0.0,a,0,0,32,40,,True,0.0,1.0,a,0.9706312164106548,0.9482914738372464,0.9607519281931688,1.0,0.3853186948933126,47,0.6973684210526316,0.8214760052833919,0.6666666666666666,0.4248990864669641,0.31840551350050705,0.25,0.7849246248313698,0.001764111844800638,3.860491498638321e-05,6.609522334870794e-08,3.0399999999999996,0.011678715326268895,0.004353263862167493,0.0008404557580232165,6.609522334870794e-08,3.860491498638321e-05
mp-1079264,Nb(SBr)2,"Br,Nb,S",3,1.4107,0.000833581,-1.262439993999998,4.090429157624129,10,1.0,0.0,c,8,8,0,36,,True,0.0,1.0,c,0.988985428976366,0.9831169412331966,0.9852802778681528,1.0,0.3136358094921232,40,0.7894736842105263,0.8329296821564746,0.6666666666666666,0.4148172729912473,0.24447312530424964,0.3333333333333333,0.7849246248313698,0.0017631385148640442,3.85836151353751e-05,6.605875601261429e-08,3.0399999999999996,0.011672271719373156,0.004350861995159216,0.0008399920455029037,6.605875601261429e-08,3.85836151353751e-05
mp-1095291,Li2SnSe3,"Li,Se,Sn",3,1.479699999999999,0.0,-1.06635561561632,3.980317975904259,12,1.0,0.0,c,2,8,0,48,,True,0.0,1.0,c,0.9994278165372052,1.0,0.9992353594395886,1.0,0.2629872218785685,42,0.7631578947368421,0.8287220737092951,0.6666666666666666,0.4032745896681052,0.2512362092811988,0.3333333333333333,0.7849246248313698,0.0017614956128023584,3.854766271285196e-05,6.599720210432482e-08,3.0399999999999996,0.011661395433074234,0.004346807838278348,0.0008392093363443647,6.599720210432482e-08,3.854766271285196e-05
mp-878,Ho2S3,"Ho,S",2,1.4612999999999992,0.0,-2.376410549020833,6.046408249359246,30,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b,0.9979220369606984,1.0,0.9972230536621668,1.0,0.6013743622517633,50,0.6578947368421053,0.8853701095501049,0.6666666666666666,0.40628935928168053,0.16538744305033865,0.5,0.7849246248313698,0.0017523776928075568,3.834813084797084e-05,6.565558489886916e-08,3.0399999999999996,0.011601033278429207,0.004324307727682475,0.0008348653893415647,6.565558489886916e-08,3.834813084797084e-05
mp-7219,Na2ZrSe3,"Na,Se,Zr",3,1.3166,0.0,-1.555228321197918,4.3352198535060165,12,1.0,0.0,c,20,20,0,72,,True,0.0,1.0,c,0.9543583438714566,1.0,0.9390050563821938,1.0,0.3892630234729002,42,0.7631578947368421,0.8389196582638127,0.6666666666666666,0.431667098333765,0.2306688089166392,0.3333333333333333,0.7849246248313698,0.001731156365321357,3.788373424754127e-05,6.486049450588164e-08,3.0399999999999996,0.0114605445428157,0.004271940278121285,0.0008247551534564421,6.486049450588164e-08,3.788373424754127e-05
