material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis
mp-559847,Ag5P(S2Cl)2,"Ag,Cl,P,S",4,1.2689,0.0,-0.5435249585813471,4.792626948079725,12,1.0,0.0,b,10,0,0,56,,True,0.0,1.0,b
mp-1229218,Ag6Hg(P10I)2,"Ag,Hg,I,P",4,1.0085,0.001645343986043,-0.078329913977831,4.400143558373095,58,1.0,0.0,a,0,10,8,222,,True,0.0,1.0,a
mp-1229180,Ag8Sb5As3S16,"Ag,As,S,Sb",4,1.0255,0.015493755703124,-0.200290888281251,5.107624690147718,32,1.0,0.0,b,26,0,0,124,,True,0.0,1.0,b
mp-22665,AgAsPbS3,"Ag,As,Pb,S",4,1.385999999999999,0.0,-0.49983294361111,5.493035443621214,24,1.0,0.0,a,0,16,0,88,,True,0.0,1.0,a
mp-570340,AgAuCl4,"Ag,Au,Cl",3,0.8406,0.0,-0.454436350000001,4.7987161874327935,12,1.0,0.0,b,12,0,0,40,,True,0.0,1.0,b
mp-558368,AgBi2S3Cl,"Ag,Bi,Cl,S",4,0.7834000000000001,0.00976725404762,-0.707342042023809,6.488452106603947,14,1.0,0.0,b,48,0,0,68,,True,0.0,1.0,b
mp-569939,AgBi2Se3Cl,"Ag,Bi,Cl,Se",4,0.549999999999999,0.004053996428567,-0.495857170907746,7.148355822255248,14,1.0,0.0,b,48,0,0,68,,True,0.0,1.0,b
mp-35909,AgBiI4,"Ag,Bi,I",3,1.0457,0.041575271666667,-0.6252693061111111,5.41146151853963,12,1.0,0.0,a,0,0,16,48,,True,0.0,1.0,a
mp-6215,AgHgAsS3,"Ag,As,Hg,S",4,1.2453,0.0,-0.364428084027777,5.838973114425365,12,1.0,0.0,c,8,8,0,44,,True,0.0,1.0,c
mp-560067,AgHgSBr,"Ag,Br,Hg,S",4,1.2604,0.0,-0.544299855416667,6.111590113044165,16,1.0,0.0,b,24,0,0,56,,True,0.0,1.0,b
mp-558446,AgHgSI,"Ag,Hg,I,S",4,1.1391,0.001065505,-0.425366622916667,6.583453009080383,16,1.0,0.0,b,24,0,0,56,,True,0.0,1.0,b
mp-1229237,AgSb(Te8Pb7)2,"Ag,Pb,Sb,Te",4,0.731399999999999,0.018993472343752,-0.559763038697914,7.799288669260609,32,1.0,0.0,a,0,0,64,192,,True,0.0,1.0,a
mp-560848,AgSbPbS3,"Ag,Pb,S,Sb",4,1.0857,0.016438486666666,-0.537381230694443,5.872831798699933,24,1.0,0.0,a,0,32,0,100,,True,0.0,1.0,a
mp-605863,AgSbPbS3,"Ag,Pb,S,Sb",4,0.5552,0.048208204999999,-0.505611512361109,6.05646147885682,24,1.0,0.0,a,0,40,0,124,,True,0.0,1.0,a
mp-1205392,AgSbS2,"Ag,S,Sb",3,1.312699999999999,0.001050926874999,-0.249060472031249,4.982195554740275,16,1.0,0.0,c,16,16,0,56,,True,0.0,1.0,c
mp-3922,AgSbS2,"Ag,S,Sb",3,1.3716,0.0,-0.250111398906248,5.037409127368564,16,1.0,0.0,b,16,0,0,56,,True,0.0,1.0,b
mp-675374,Al2PbSe4,"Al,Pb,Se",3,1.9965,0.0,-0.943539114464284,5.146729625757556,14,1.0,0.0,c,12,12,0,48,,True,0.0,1.0,c
mp-1079029,Al2S3,"Al,S",2,2.4329,0.041329718,-1.195626505687499,2.901711777756086,10,1.0,0.0,c,16,16,0,48,,True,0.0,1.0,c
mp-685120,Al2Se3,"Al,Se",2,1.124599999999999,0.027968650749999,-0.9808548856874992,4.280844654738498,40,1.0,0.0,a,0,0,48,176,,True,0.0,1.0,a
mp-9254,Al2Te5,"Al,Te",2,1.046099999999999,0.0,-0.401939997142855,4.782126199336237,7,1.0,0.0,b,12,0,0,20,,True,0.0,1.0,b
mp-1228454,Al2ZnSe4,"Al,Se,Zn",3,0.8803999999999991,0.048318972857141,-1.052454977053571,4.101047580833755,7,1.0,0.0,b,12,0,0,24,,True,0.0,1.0,b
mp-1228691,Al4GaSb5,"Al,Ga,Sb",3,0.9859999999999992,0.009260069000003,-0.238974703000002,4.320039267683167,10,1.0,0.0,a,0,20,0,40,,True,0.0,1.0,a
mp-1228963,AlAgSnSe4,"Ag,Al,Se,Sn",4,1.1072,0.0,-0.769702025148809,4.768387617941063,7,0.8333333333333334,0.1666666666666666,a,2,2,12,24,,True,0.125,0.875,a
mp-1228961,AlCuSnS4,"Al,Cu,S,Sn",4,0.712699999999999,0.0,-0.910110392142856,4.128246124787186,14,1.0,0.0,a,0,0,16,64,,True,0.0,1.0,a
mp-1229027,AlCuSnSe4,"Al,Cu,Se,Sn",4,0.551299999999999,0.0,-0.772785169196429,4.801565692513809,7,1.0,0.0,a,0,0,12,24,,True,0.0,1.0,a
mp-1228935,AlIn(AgS2)2,"Ag,Al,In,S",4,1.0686,0.001991401249998,-0.7298142995312501,4.297734585710501,8,0.75,0.25,a,4,4,16,32,,True,0.16666666666666666,0.8333333333333334,a
mp-1228926,AlIn(AgSe2)2,"Ag,Al,In,Se",4,0.508799999999999,0.002148663749999,-0.6360703095312481,5.147794187247591,8,0.875,0.125,a,2,2,16,32,,True,0.1,0.9,a
mp-15649,As2Ir,"As,Ir",2,0.8155000000000001,0.0,-0.571072849166668,10.710256626582211,12,1.0,0.0,b,8,0,8,56,,True,0.0,1.0,b
mp-2455,As2Os,"As,Os",2,0.6646999999999991,0.0,-0.303892785000002,11.02793169102378,6,1.0,0.0,b,16,0,0,28,,True,0.0,1.0,b
mp-19941,As2PbS4,"As,Pb,S",3,0.764999999999999,0.027496102857142,-0.499729935357142,4.851891798704308,28,1.0,0.0,b,88,0,0,120,,True,0.0,1.0,b
mp-1078443,As2Se3,"As,Se",2,0.6002999999999991,0.0273298715,-0.112152982437498,5.039011232617804,10,1.0,0.0,b,24,0,0,36,,True,0.0,1.0,b
mp-1214793,AsOsS,"As,Os,S",3,1.1795,0.0,-0.443388143437497,10.016300167723148,12,1.0,0.0,a,0,8,8,56,,True,0.0,1.0,a
mp-1214784,AsOsSe,"As,Os,Se",3,1.0029,0.0,-0.313583645520831,10.666722596410198,12,1.0,0.0,a,0,8,8,56,,True,0.0,1.0,a
mp-1228801,AsPOs,"As,Os,P",3,0.7610999999999991,0.046267052499999,-0.409364932658732,10.11721438334779,6,1.0,0.0,b,16,0,0,28,,True,0.0,1.0,b
mp-1214786,AsRuS,"As,Ru,S",3,0.9146,0.0,-0.592859944270832,7.088232343916291,12,1.0,0.0,a,0,8,8,56,,True,0.0,1.0,a
mp-1214794,AsRuSe,"As,Ru,Se",3,0.7335,0.002766220416663,-0.487357613020833,7.983194080499203,12,1.0,0.0,a,0,8,8,56,,True,0.0,1.0,a
mp-18501,Ba(AgTe)2,"Ag,Ba,Te",3,0.673299999999999,0.0,-0.952725886833328,6.624990724388473,20,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b
mp-570823,Ba(BSe3)2,"B,Ba,Se",3,1.7096,0.0,-0.8903812985995351,4.539392425453564,18,1.0,0.0,c,12,12,0,56,,True,0.0,1.0,c
mp-5970,Ba(CuS)2,"Ba,Cu,S",3,0.9028,0.0,-1.126581507999994,5.62422080829076,20,1.0,0.0,b,104,0,0,156,,True,0.0,1.0,b
mp-30133,Ba(CuTe)2,"Ba,Cu,Te",3,0.600699999999999,0.019412735500001,-0.8928087441666661,6.587845899390267,20,1.0,0.0,b,104,0,0,156,,True,0.0,1.0,b
mp-1193410,Ba(DyS2)2,"Ba,Dy,S",3,1.7407,0.0,-2.4205534197619,5.428714197100985,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193797,Ba(DySe2)2,"Ba,Dy,Se",3,1.3765,0.0,-2.239951934672619,6.33934568922243,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-17927,Ba(DyTe2)2,"Ba,Dy,Te",3,1.2938,0.0,-1.778846113928569,6.421693048545647,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1192439,Ba(ErS2)2,"Ba,Er,S",3,1.721299999999999,0.0,-2.424812620714284,5.630210280035412,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1192805,Ba(ErSe2)2,"Ba,Er,Se",3,1.3665,0.0,-2.236903161696428,6.537725382763253,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-17928,Ba(ErTe2)2,"Ba,Er,Te",3,1.310799999999999,0.0,-1.767831322023807,6.592348643286566,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-7841,Ba(GaSe2)2,"Ba,Ga,Se",3,1.8578,0.0,-1.36306374919643,4.745645848121506,14,1.0,0.0,c,16,16,0,64,,True,0.0,1.0,c
mp-1192904,Ba(GdS2)2,"Ba,Gd,S",3,0.6887000000000001,0.030703082857144,-2.437353609285714,5.184111704122306,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1194410,Ba(GdSe2)2,"Ba,Gd,Se",3,1.225499999999999,0.0,-2.254198865624996,6.092676037770971,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1182773,Ba(GdTe2)2,"Ba,Gd,Te",3,0.7582000000000001,0.0,-1.809475183095239,6.207721580499715,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193583,Ba(HoS2)2,"Ba,Ho,S",3,1.730699999999999,0.0,-2.420139293214281,5.525963798662894,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-17273,Ba(HoTe2)2,"Ba,Ho,Te",3,0.785,0.0,-1.77085865702381,6.508370770167922,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-21183,Ba(InTe2)2,"Ba,In,Te",3,0.9642,0.0,-1.017688293571426,5.30128227150803,14,1.0,0.0,c,16,16,0,64,,True,0.0,1.0,c
mp-984052,Ba(LuS2)2,"Ba,Lu,S",3,1.7477,0.0,-2.415832439761902,5.940859147785773,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1192674,Ba(LuSe2)2,"Ba,Lu,Se",3,1.3795,0.0,-2.217454517529764,6.842874325971653,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1192634,Ba(LuTe2)2,"Ba,Lu,Te",3,0.7892999999999991,0.0,-1.737789246785714,6.845708518464667,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-866306,Ba(NdS2)2,"Ba,Nd,S",3,1.6426,0.0,-2.375684078571425,4.726279564678873,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-28967,Ba(PdS2)2,"Ba,Pd,S",3,0.7791999999999991,0.0,-1.124628872142858,5.022717317257348,14,1.0,0.0,c,8,8,0,72,,True,0.0,1.0,c
mp-4727,Ba(SbSe2)2,"Ba,Sb,Se",3,1.1026999999999991,0.0,-1.065743429196428,5.320731343873672,56,1.0,0.0,a,0,64,0,268,,True,0.0,1.0,a
mp-17501,Ba(ScTe2)2,"Ba,Sc,Te",3,0.5092999999999991,0.0,-1.642161534523812,5.360490688799092,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1194376,Ba(SmS2)2,"Ba,S,Sm",3,1.759,0.0,-2.397762902500001,4.959232574236378,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193757,Ba(SmSe2)2,"Ba,Se,Sm",3,1.4344,0.0,-2.236313439196427,5.869572565424152,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-17786,Ba(SmTe2)2,"Ba,Sm,Te",3,0.7957000000000001,0.0,-1.7951484220238112,6.007304051063043,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193223,Ba(TbS2)2,"Ba,S,Tb",3,1.7379,0.0,-2.42091323940476,5.304956008428256,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-17153,Ba(TbTe2)2,"Ba,Tb,Te",3,1.2848,0.0,-1.786948157142854,6.315744283024655,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193579,Ba(TmS2)2,"Ba,S,Tm",3,1.7438999999999991,0.0,-2.421872578928573,5.716074406100827,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193169,Ba(TmSe2)2,"Ba,Se,Tm",3,1.380399999999999,0.0,-2.229560272410717,6.621662694958519,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-18196,Ba(TmTe2)2,"Ba,Te,Tm",3,1.3203,0.0,-1.755499247738097,6.669472607727202,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-29036,Ba(YS2)2,"Ba,S,Y",3,1.7564000000000002,0.0,-2.4151363792857152,4.056958167744675,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1193099,Ba(YSe2)2,"Ba,Se,Y",3,1.4872,0.0,-2.240760022410714,5.118428248655952,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-17872,Ba(YTe2)2,"Ba,Te,Y",3,1.293499999999999,0.0,-1.787762902023809,5.427248325634622,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-676580,Ba11(Nb3S14)2,"Ba,Nb,S",3,0.5126000000000001,0.003789493904762,-1.7585988086666662,4.145143294983296,45,1.0,0.0,b,32,0,0,295,,True,0.0,1.0,b
mp-676889,Ba11(Ta3S13)2,"Ba,S,Ta",3,0.9842999999999992,0.021093796046505,-1.866926389976742,4.8776516744186935,43,1.0,0.0,b,32,0,0,256,,True,0.0,1.0,b
mp-1228614,Ba2Ag8S7,"Ag,Ba,S",3,0.9648999999999992,0.006784527058823,-0.741530335637251,5.883198490119896,34,1.0,0.0,b,96,0,0,164,,True,0.0,1.0,b
mp-18309,Ba2CdS3,"Ba,Cd,S",3,2.0892,0.0,-1.84960027375,4.649905842641991,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-16870,Ba2CdSe3,"Ba,Cd,Se",3,1.574799999999999,0.000599786666667,-1.801110132005208,5.382782440185242,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-16904,Ba2CdTe3,"Ba,Cd,Te",3,1.402,0.020210535833335,-1.5324220458333322,5.468412246853906,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-1106127,Ba2DyInSe5,"Ba,Dy,In,Se",4,1.1264,0.006480991527778,-1.87850407445023,5.636575660019457,18,1.0,0.0,c,56,56,0,104,,True,0.0,1.0,c
mp-1189860,Ba2DyInTe5,"Ba,Dy,In,Te",4,0.7071000000000001,0.010860980138889,-1.5219189912962952,5.833766718347979,18,1.0,0.0,c,56,56,0,102,,True,0.0,1.0,c
mp-1188122,Ba2ErInSe5,"Ba,Er,In,Se",4,1.1854,0.008465022222219,-1.875334409820601,5.731830209966496,18,1.0,0.0,c,56,56,0,104,,True,0.0,1.0,c
mp-1106146,Ba2ErInTe5,"Ba,Er,In,Te",4,0.7491000000000001,0.013259412916663,-1.515237028333332,5.908495985121888,18,1.0,0.0,c,56,56,0,102,,True,0.0,1.0,c
mp-1199702,Ba2GaS4,"Ba,Ga,S",3,1.8917,0.0,-1.7984255564285712,4.016998936170856,56,1.0,0.0,b,64,0,0,328,,True,0.0,1.0,b
mp-1195574,Ba2GaSe4,"Ba,Ga,Se",3,1.0042,0.000180039464286,-1.6999139908035712,4.895537405451072,56,1.0,0.0,b,64,0,0,328,,True,0.0,1.0,b
mp-29084,Ba2GdCl7,"Ba,Cl,Gd",3,1.561499999999999,0.0,-2.872607037499999,3.932393551520615,40,1.0,0.0,a,0,16,0,200,,True,0.0,1.0,a
mp-570803,Ba2Ge(TeSe)2,"Ba,Ge,Se,Te",4,0.8477000000000001,0.0,-1.471335027574403,5.08730620035153,14,1.0,0.0,c,16,4,0,80,,True,0.0,1.0,c
mp-8195,Ba2GeAs2,"As,Ba,Ge",3,0.578599999999999,0.0,-0.889334313500002,5.126936284981981,20,1.0,0.0,a,0,32,0,132,,True,0.0,1.0,a
mp-8194,Ba2GeP2,"Ba,Ge,P",3,0.6808999999999991,0.0,-0.8507398508571411,4.480580204435174,20,1.0,0.0,a,0,28,0,120,,True,0.0,1.0,a
mp-540805,Ba2GeS4,"Ba,Ge,S",3,2.2853,0.0,-1.718871715714283,4.060395878660701,28,1.0,0.0,b,32,0,0,168,,True,0.0,1.0,b
mp-11902,Ba2GeSe4,"Ba,Ge,Se",3,1.4121,0.0,-1.62330692705357,4.947741946035637,14,1.0,0.0,c,6,16,0,82,,True,0.0,1.0,c
mp-9321,Ba2HfS4,"Ba,Hf,S",3,0.8648,0.0,-2.208330561428571,4.976572109395772,7,1.0,0.0,c,20,20,0,48,,True,0.0,1.0,c
mp-18008,Ba2HgS3,"Ba,Hg,S",3,1.358999999999999,0.013914367083334,-1.699150297916667,5.480943793315077,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-864638,Ba2InBiS5,"Ba,Bi,In,S",4,1.452899999999999,0.0,-1.520311703796295,4.952783993877049,18,1.0,0.0,c,56,56,0,104,,True,0.0,1.0,c
mp-1105202,Ba2InBiSe5,"Ba,Bi,In,Se",4,1.061,0.0,-1.470125419820601,5.766765127410662,18,1.0,0.0,c,56,56,0,104,,True,0.0,1.0,c
mp-1193204,Ba2InS4,"Ba,In,S",3,2.1883,0.001337802767853,-1.7243288580952392,4.207518855855495,28,1.0,0.0,b,32,0,0,164,,True,0.0,1.0,b
mp-1189339,Ba2InSbSe5,"Ba,In,Sb,Se",4,0.768,0.0,-1.430602192042823,5.335144885663771,18,1.0,0.0,c,56,56,0,100,,True,0.0,1.0,c
mp-1203298,Ba2InSbTe5,"Ba,In,Sb,Te",4,0.714599999999999,0.003786681666666,-1.166283609166665,5.647204042757867,36,1.0,0.0,b,144,0,0,200,,True,0.0,1.0,b
mp-553874,Ba2LaAg5S6,"Ag,Ba,La,S",4,1.4647,0.0,-1.270610511309522,5.546750588830426,14,1.0,0.0,c,16,16,0,76,,True,0.0,1.0,c
mp-16905,Ba2MnTe3,"Ba,Mn,Te",3,0.825199999999999,0.0,-1.460359264655172,5.236587175681508,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-1205400,Ba2NdInTe5,"Ba,In,Nd,Te",4,0.666299999999999,0.00573952625,-1.534903525833332,5.644110422963621,18,1.0,0.0,c,56,56,0,102,,True,0.0,1.0,c
mp-1105535,Ba2P7Br,"Ba,Br,P",3,1.6528,0.0,-0.8314607517499971,3.587013943072334,20,1.0,0.0,c,16,24,0,116,,True,0.0,1.0,c
mp-569613,Ba2P7Cl,"Ba,Cl,P",3,1.5662999999999991,0.000778826999998,-0.8746247432499981,3.324156261290349,20,1.0,0.0,c,16,20,0,112,,True,0.0,1.0,c
mp-1188687,Ba2P7I,"Ba,I,P",3,1.766299999999999,0.0,-0.755420047249999,3.738067638182178,20,1.0,0.0,c,16,24,0,116,,True,0.0,1.0,c
mp-14447,Ba2SiSe4,"Ba,Se,Si",3,2.278399999999999,0.0,-1.724802340624997,4.708322461865282,14,1.0,0.0,c,8,16,0,84,,True,0.0,1.0,c
mp-14448,Ba2SiTe4,"Ba,Si,Te",3,1.1029,0.0,-1.3028846888095251,5.001523244713841,14,1.0,0.0,c,4,16,0,80,,True,0.0,1.0,c
mp-1188304,Ba2SmInSe5,"Ba,In,Se,Sm",4,1.077999999999999,0.004287914027775,-1.879282181487268,5.512588291455211,18,1.0,0.0,c,56,56,0,104,,True,0.0,1.0,c
mp-17918,Ba2SnS3F2,"Ba,F,S,Sn",4,2.4412000000000003,0.0,-2.481345934375,4.518513170832694,32,1.0,0.0,c,16,16,0,136,,True,0.0,1.0,c
mp-17805,Ba2SnSe3F2,"Ba,F,Se,Sn",4,2.0002,0.0,-2.426220983066406,5.174669705964397,32,1.0,0.0,c,16,16,0,136,,True,0.0,1.0,c
mp-1189897,Ba2ThS6,"Ba,S,Th",3,1.3091,0.0,-1.9835559516666696,4.684906581797498,18,1.0,0.0,c,36,36,0,112,,True,0.0,1.0,c
mp-17908,Ba2TiS4,"Ba,S,Ti",3,2.096799999999999,0.0,-2.099204554761902,3.797085282189267,28,1.0,0.0,b,24,0,0,148,,True,0.0,1.0,b
mp-1104423,Ba2YAg5S6,"Ag,Ba,S,Y",4,1.365799999999999,0.0,-1.240946243095236,5.4409295425923965,14,1.0,0.0,b,16,0,0,76,,True,0.0,1.0,b
mp-1205397,Ba2YInSe5,"Ba,In,Se,Y",4,1.176799999999999,0.006603826944444,-1.878695495376157,5.183298715022055,18,1.0,0.0,c,56,56,0,104,,True,0.0,1.0,c
mp-1190623,Ba2ZnS3,"Ba,S,Zn",3,2.0968,0.00358280125,-1.908657817916665,4.43928579023044,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-5587,Ba2ZnS3,"Ba,S,Zn",3,2.0208,0.0,-1.9122406191666648,4.433545301995248,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-1190528,Ba2ZnSe3,"Ba,Se,Zn",3,1.6214,0.004843865,-1.834850999505208,5.247394475317219,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-1190380,Ba2ZnTe3,"Ba,Te,Zn",3,1.2922,0.027225454166668,-1.536545329166665,5.361872683549311,24,1.0,0.0,b,96,0,0,144,,True,0.0,1.0,b
mp-3813,Ba2ZrS4,"Ba,S,Zr",3,0.6025,0.001551584999994,-2.173588482857141,4.151400482087276,7,1.0,0.0,c,20,20,0,48,,True,0.0,1.0,c
mp-1202519,Ba3(AlAs2)2,"Al,As,Ba",3,1.0493,0.0,-0.950413470833332,4.745296093723967,36,1.0,0.0,b,16,0,0,208,,True,0.0,1.0,b
mp-1202948,Ba3(AlP2)2,"Al,Ba,P",3,1.2821999999999991,0.0,-0.963656650396823,3.934399208889846,36,1.0,0.0,b,16,0,0,208,,True,0.0,1.0,b
mp-19913,Ba3(InP2)2,"Ba,In,P",3,1.1092,0.0,-0.785818917433863,4.6027329881611525,18,1.0,0.0,a,0,0,16,104,,True,0.0,1.0,a
mp-1228324,Ba3(NaSb2)2,"Ba,Na,Sb",3,0.700399999999999,0.0,-0.8887802341954011,4.726309425607399,36,1.0,0.0,a,0,32,0,256,,True,0.0,1.0,a
mp-561443,Ba3(PS4)2,"Ba,P,S",3,2.0034,0.006504339038452,-1.560794823598889,3.565298900162999,13,1.0,0.0,c,16,16,0,68,,True,0.0,1.0,c
mp-571415,Ba3(PSe4)2,"Ba,P,Se",3,1.1278,0.014164973269232,-1.375478198502747,4.606296193607893,52,1.0,0.0,b,48,0,0,268,,True,0.0,1.0,b
mp-29354,Ba3(TaS4)2,"Ba,S,Ta",3,1.108,0.0,-1.84273351548717,5.089566194332099,39,1.0,0.0,b,32,0,0,242,,True,0.0,1.0,b
mp-1192376,Ba3AlAs3,"Al,As,Ba",3,0.6837999999999991,0.0,-1.04244424357143,4.732754922554564,28,1.0,0.0,c,56,56,0,192,,True,0.0,1.0,c
mp-1192373,Ba3AlP3,"Al,Ba,P",3,0.670099999999999,0.0,-1.010714270204082,4.069646128087007,28,1.0,0.0,c,48,48,0,180,,True,0.0,1.0,c
mp-18439,Ba3AlSb3,"Al,Ba,Sb",3,0.555099999999999,0.0,-0.99581735607143,4.824849141435625,28,1.0,0.0,c,56,56,0,208,,True,0.0,1.0,c
mp-524,Ba3As14,"As,Ba",2,1.2631,0.0,-0.44724163764706,4.884319645929317,34,1.0,0.0,b,28,0,0,172,,True,0.0,1.0,b
mp-669415,Ba3Bi6PbSe13,"Ba,Bi,Pb,Se",4,0.8085,0.0,-1.127531703933424,6.667419372851461,46,1.0,0.0,b,184,0,0,264,,True,0.0,1.0,b
mp-1195592,Ba3GaAs3,"As,Ba,Ga",3,0.6858000000000001,0.0,-1.00034337125,4.964157553556973,56,1.0,0.0,b,96,0,0,416,,True,0.0,1.0,b
mp-541715,Ba3GaP3,"Ba,Ga,P",3,0.601,0.0,-0.94679452734694,4.395816779428476,28,1.0,0.0,c,56,56,0,192,,True,0.0,1.0,c
mp-620346,Ba3InAs3,"As,Ba,In",3,0.5236000000000001,0.0,-0.972754154880954,5.181982526064888,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b
mp-1195033,Ba3Nb2Se9,"Ba,Nb,Se",3,1.0023,0.003380289392853,-1.555105885256696,5.232618063528164,56,1.0,0.0,b,28,0,0,280,,True,0.0,1.0,b
mp-1195,Ba3P14,"Ba,P",2,1.8930999999999991,0.0,-0.50608046735294,3.162453986024103,34,1.0,0.0,b,16,0,0,172,,True,0.0,1.0,b
mp-556291,Ba3Sn2S7,"Ba,S,Sn",3,2.3703,0.0,-1.583597970624998,4.061723755049394,48,1.0,0.0,b,28,0,0,256,,True,0.0,1.0,b
mp-540923,Ba3SnP3,"Ba,P,Sn",3,0.8242,0.007148166267859,-0.8735758373469371,4.54518146022527,28,1.0,0.0,a,0,8,8,172,,True,0.0,1.0,a
