material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3
mp-17273,Ba(HoTe2)2,"Ba,Ho,Te",3,0.785,0.0,-1.77085865702381,6.508370770167922,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.4916271267782543,1.0,0.32061660426210853,1.0,0.4449603311638174,58,0.5526315789473684,0.6744093751930273
mp-7951,ThSe2,"Se,Th",2,0.6304999999999991,0.0,-2.023257866874994,8.365196996045302,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.3499230471742903,1.0,0.13124497077720626,1.0,0.5101550376423006,32,0.8947368421052632,0.6743159344332881
mp-1192634,Ba(LuTe2)2,"Ba,Lu,Te",3,0.7892999999999991,0.0,-1.737789246785714,6.845708518464667,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.49583100551556747,1.0,0.3262346174179921,1.0,0.43641850373432434,58,0.5526315789473684,0.6741055129960997
mp-574448,RbGd2CuSe4,"Cu,Gd,Rb,Se",4,0.7781,0.0,-1.752188157109374,5.90002629201242,16,1.0,0.0,c,8,8,0,96,,True,0.0,1.0,c,0.4849036760320774,1.0,0.31163146527375163,1.0,0.4401377417331853,56,0.5789473684210527,0.6738301515071802
mp-27164,FeP4,"Fe,P",2,1.075,0.005661479499998,-0.364380441714284,4.170169112889482,30,1.0,0.0,b,16,0,0,132,,True,0.0,1.0,b,0.7781250340612624,0.8853343692988216,0.7034889735250158,1.0,0.08166706067557261,50,0.6578947368421053,0.6735954399902254
mp-17090,SrTlPS4,"P,S,Sr,Tl",4,2.0933,0.0,-1.214955422568026,4.080854001878426,28,1.0,0.0,b,16,0,0,104,,True,0.0,1.0,b,0.6133033031167496,1.0,0.48322318788211394,1.0,0.30137054646459926,68,0.42105263157894735,0.6731851694213431
mp-1209219,RbNbCl6,"Cl,Nb,Rb",3,2.2919,0.0,-1.9122691571875,2.86371631489842,16,1.0,0.0,c,16,16,0,48,,True,0.0,1.0,c,0.41854117203113544,1.0,0.22294541036319712,1.0,0.4814866580749949,46,0.7105263157894737,0.6730863157847456
mp-28859,K2HgS2,"Hg,K,S",3,2.1351,0.0,-1.0272830079,3.678826292061515,20,1.0,0.0,b,16,0,0,108,,True,0.0,1.0,b,0.5710884800647834,1.0,0.42680780435208804,1.0,0.2528947687646449,50,0.6578947368421053,0.6730703785251615
mp-1213382,CsPr(NbBr3)6,"Br,Cs,Nb,Pr",4,0.9777999999999992,0.001382022307692,-1.519297736012379,4.771231193497971,52,1.0,0.0,c,12,12,0,180,,True,0.0,1.0,c,0.6847235796250178,0.972009002319154,0.5786683893478295,1.0,0.37998215466133567,92,0.10526315789473684,0.6727925447544444
mp-1193204,Ba2InS4,"Ba,In,S",3,2.1883,0.001337802767853,-1.7243288580952392,4.207518855855495,28,1.0,0.0,b,32,0,0,164,,True,0.0,1.0,b,0.5178883085377773,0.9729046094524054,0.35571173279294355,1.0,0.4329416858382651,58,0.5526315789473684,0.6726508110963473
mp-569170,CaTe,"Ca,Te",2,1.6323,0.034405285000001,-1.88310873,4.224233524461846,8,1.0,0.0,b,32,0,0,48,,True,0.0,1.0,b,0.9759829860956848,0.30316736040812253,0.9679039690526947,1.0,0.47395452082148637,28,0.9473684210526316,0.6724539466551709
mp-1221315,Na2Sr3P4,"Na,P,Sr",3,0.932099999999999,0.0,-0.980892002989417,3.209669374924957,36,1.0,0.0,a,0,32,0,248,,True,0.0,1.0,a,0.6389486901074697,1.0,0.517495375664979,1.0,0.24091197392875552,66,0.4473684210526315,0.6722930808072591
mp-1219249,Si3P3Ir,"Ir,P,Si",3,0.9857,0.004417265714284,-0.414602584132651,5.25930350990917,7,1.0,0.0,c,10,10,0,30,,True,0.0,1.0,c,0.6925551900852785,0.9105342412520887,0.5891344596954297,1.0,0.09463943818664533,37,0.8289473684210527,0.6722665117789184
mp-7090,NaMgSb,"Mg,Na,Sb",3,1.0359,0.0,-0.5565706387931041,3.410971402850694,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.7414473497369839,1.0,0.6544733558212478,0.6538461538461545,0.13130978140351435,36,0.8421052631578947,0.6721677446287274
mp-1270,Dy2S3,"Dy,S",2,0.593799999999999,0.0,-2.379733143187499,6.522929550530526,20,1.0,0.0,b,80,0,0,120,,True,0.0,1.0,b,0.31964208648471326,1.0,0.090777857866246,1.0,0.6022325882009278,40,0.7894736842105263,0.6720883505277997
mp-1198460,Ba7Ga5AgSe15,"Ag,Ba,Ga,Se",4,1.904,0.007478007996032,-1.5905352678329612,5.022145868247949,56,1.0,0.0,c,8,8,0,304,,True,0.0,1.0,c,0.7971687517712158,0.8485430348632778,0.7289387696101974,1.0,0.3983828064701618,96,0.052631578947368474,0.6717373220503019
mp-1203491,Ho3InS6,"Ho,In,S",3,1.0963,0.016309990687498,-1.964254310166663,6.22889214641474,40,1.0,0.0,b,144,0,0,224,,True,0.0,1.0,b,0.7974370774203995,0.6696631385995541,0.7292973567915535,1.0,0.49491442114808004,70,0.39473684210526316,0.6716798492178969
mp-861606,KLaSiSe4,"K,La,Se,Si",4,2.208099999999999,0.0,-1.564348765946428,4.070635976134484,14,1.0,0.0,b,12,0,0,76,,True,0.0,1.0,b,0.49837788695771545,1.0,0.3296382392497693,1.0,0.391618834010829,54,0.6052631578947368,0.6712596424040818
mp-1080135,SrZnAsF,"As,F,Sr,Zn",4,0.6936,0.0,-2.003755168125,5.180441033646168,8,1.0,0.0,c,24,24,0,40,,True,0.0,1.0,c,0.40528368511787055,1.0,0.20522826375961087,1.0,0.5051174912835232,48,0.6842105263157895,0.6707516168281863
mp-1078631,SrBiS2F,"Bi,F,S,Sr",4,0.8544,0.008654981083331,-2.067490063,5.354334346173236,10,1.0,0.0,c,40,40,0,52,,True,0.0,1.0,c,0.5605213198468548,0.8247050325577849,0.4126859780972719,1.0,0.5215802122494981,50,0.6578947368421053,0.6706885204257637
mp-14652,Cs2P3,"Cs,P",2,0.8470999999999991,0.0,-0.585892831785713,3.28657406911343,10,1.0,0.0,c,24,24,0,84,,True,0.0,1.0,c,0.5531902261317649,1.0,0.4028887923286087,1.0,0.13888370275844142,30,0.9210526315789473,0.6706042017917353
mp-866651,KSiBiS4,"Bi,K,S,Si",4,2.0549,0.0,-0.91117355607143,3.692352626031423,28,1.0,0.0,b,16,0,0,136,,True,0.0,1.0,b,0.6520341460253898,1.0,0.5349826221083898,1.0,0.22290370169353813,68,0.42105263157894735,0.6704316590236998
mp-15415,K2GaAs2,"As,Ga,K",3,1.0207,0.0,-0.4779932594,3.122502252029281,40,1.0,0.0,a,0,12,0,228,,True,0.0,1.0,a,0.72682659790558,1.0,0.6349343583214688,1.0,0.11101324724081918,70,0.39473684210526316,0.6704099232390573
