material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
mp-32800,Ac2S3,"Ac,S",2,2.2962,0.0,-2.4930635934375,6.535149338291522,40
mp-865028,AcTlTe2,"Ac,Te,Tl",3,0.6253000000000001,0.0,-1.251402644791669,8.430613335203375,4
mp-1197575,Ag2AsS2,"Ag,As,S",3,0.533399999999999,0.003030207645833,-0.146347212812494,5.345360682313937,40
mp-559071,Ag2Bi2S3Cl2,"Ag,Bi,Cl,S",4,1.6367999999999991,0.004958104166663,-0.7483002703703701,5.894385992000153,36
mp-861942,Ag2GePbS4,"Ag,Ge,Pb,S",4,1.3699,0.0,-0.550358512291666,5.680462312578542,16
mp-1229184,Ag2Hg3P4Br3,"Ag,Br,Hg,P",4,0.8896000000000001,0.011714015555556,-0.341863945783729,6.570153484316474,24
mp-571425,Ag2Hg7(P4Br3)2,"Ag,Br,Hg,P",4,0.7716000000000001,0.011496089901656,-0.356669641651139,6.592176645910806,23
mp-672339,Ag2Hg7(P4I3)2,"Ag,Hg,I,P",4,0.7439,0.012546369032091,-0.227516768172879,6.950178012052023,23
mp-1229122,Ag2HgI4,"Ag,Hg,I",3,1.276399999999999,0.001123387142858,-0.5112391594047601,5.746625628681051,7
mp-23485,Ag2HgI4,"Ag,Hg,I",3,1.2219,0.0,-0.512362546547618,5.75190222011236,7
mp-570256,Ag2HgI4,"Ag,Hg,I",3,1.100399999999999,0.002405364285717,-0.509957182261901,5.727425816244202,7
mp-556866,Ag2HgSI2,"Ag,Hg,I,S",4,1.2212,0.0,-0.441604789722222,5.874190989845033,12
mp-561822,Ag2PS3,"Ag,P,S",3,1.440099999999999,0.01069588330295,-0.23667318376426,4.447849608136395,48
mp-13956,Ag2PSe3,"Ag,P,Se",3,1.186599999999999,0.0,-0.169408026902281,5.793370047018977,48
mp-28557,Ag2PdCl4,"Ag,Cl,Pd",3,0.9506,0.00163028,-0.5746215314285701,4.65446805782275,14
mp-1102900,Ag2S,"Ag,S",2,1.183999999999999,0.045494641666667,-0.072879224270832,6.204328485489086,12
mp-1393712,Ag2S,"Ag,S",2,1.2299,0.012107586666665,-0.106266279270833,6.374803924267926,6
mp-1537871,Ag2S,"Ag,S",2,0.9741999999999992,0.003564074999999,-0.223968058819444,6.512238384867619,6
mp-2018369,Ag2S,"Ag,S",2,1.5694,0.000206821666665,-0.118167044270833,6.702851253011478,12
mp-2025704,Ag2S,"Ag,S",2,1.0891,0.013338436666664,-0.105035429270834,6.046580348456434,6
mp-2212763,Ag2S,"Ag,S",2,0.6818999999999991,0.013767898333334,-0.104605967604167,6.074255490692897,6
mp-2766207,Ag2S,"Ag,S",2,0.6684999999999991,0.013546961666666,-0.104826904270834,6.087581006200281,6
mp-31053,Ag2S,"Ag,S",2,1.3634,0.004851448333333,-0.113522417604166,6.093478394225376,6
mp-32669,Ag2S,"Ag,S",2,1.3001,0.009918613333333,-0.108455252604166,6.422762894340639,6
mp-32884,Ag2S,"Ag,S",2,1.442799999999999,0.0106076,-0.107766265937499,6.3750554217582565,6
mp-36216,Ag2S,"Ag,S",2,1.0895,0.012260691666668,-0.106113174270833,6.675568024896398,6
mp-556225,Ag2S,"Ag,S",2,1.0853,2.027000000026646e-05,-0.118353595937499,6.697040973874489,6
mp-610517,Ag2S,"Ag,S",2,1.000699999999999,0.029025886666666,-0.089347979270833,6.674811817819036,12
mp-568971,Ag2Se,"Ag,Se",2,0.9678,0.006764499166663,-0.126573511354168,7.087893497811947,12
mp-29163,Ag2TeS3,"Ag,S,Te",3,1.2999,0.0,-0.078949780572917,5.146247485897094,12
mp-4431,Ag3AsS3,"Ag,As,S",3,1.177099999999999,0.003340377499998,-0.156706858705354,5.416914003563466,14
mp-555843,Ag3AsS3,"Ag,As,S",3,1.6989,0.02086887857143,-0.139178357633923,4.820572054822076,14
mp-561620,Ag3AsS3,"Ag,As,S",3,1.627799999999999,0.0,-0.160047236205353,5.393890423250708,28
mp-5145,Ag3AsSe3,"Ag,As,Se",3,0.845299999999999,0.011623250357143,-0.290744232075892,6.365590311089679,14
mp-34460,Ag3AuS2,"Ag,Au,S",3,1.563399999999999,0.025584143333329,-0.094996935104167,6.378086710836254,6
mp-1229165,Ag3Bi7S12,"Ag,Bi,S",3,0.6774999999999991,0.009427595530304,-0.351237027064392,6.569616308680433,22
mp-17862,Ag3Ge5P6,"Ag,Ge,P",3,0.5388000000000001,0.0,-0.041898267346937,5.220634131745827,28
mp-27821,Ag3P11,"Ag,P",2,0.8305999999999991,0.0,-0.046166636624148,3.854411510979593,14
mp-12459,Ag3PS4,"Ag,P,S",3,0.9914,0.0,-0.256124809903273,4.6642434210774,16
mp-1104271,Ag3SbS3,"Ag,S,Sb",3,1.8371,0.029255762142856,-0.177533570491068,4.899352425236151,14
mp-4515,Ag3SbS3,"Ag,S,Sb",3,0.9521,0.008792387142854,-0.19799694549107,5.644650129279103,14
mp-555269,Ag3SbS3,"Ag,S,Sb",3,1.5142,0.0,-0.206789332633925,5.802740886522704,28
mp-29849,Ag3SnP7,"Ag,P,Sn",3,0.5034000000000001,0.0,-0.076524263257575,4.972162214217336,22
mp-27482,Ag4P2S7,"Ag,P,S",3,1.6556000000000002,0.006585431923079,-0.242276504215866,4.118411402268162,26
mp-1247859,Ag5Au3S4,"Ag,Au,S",3,0.9308999999999992,0.024723359444447,-0.096961325243057,7.346254701665375,12
mp-568540,Ag5Hg4P8Cl5,"Ag,Cl,Hg,P",4,0.9788,0.0,-0.3892654220671,5.809155511485511,22
mp-559847,Ag5P(S2Cl)2,"Ag,Cl,P,S",4,1.2689,0.0,-0.5435249585813471,4.792626948079725,12
mp-4004,Ag5SbS4,"Ag,S,Sb",3,0.5945,0.015285038999998,-0.164979653625002,5.893921663282094,20
mp-1214970,Ag6Ge(S2Br)2,"Ag,Br,Ge,S",4,0.5586,0.014315194935897,-0.45820348653846,5.525826719757256,52
mp-1214971,Ag6Ge(S2Cl)2,"Ag,Cl,Ge,S",4,0.6229,0.011007999134613,-0.504840261730767,5.250825515934067,52
mp-1229218,Ag6Hg(P10I)2,"Ag,Hg,I,P",4,1.0085,0.001645343986043,-0.078329913977831,4.400143558373095,58
mp-1229145,Ag6SbAsS6,"Ag,As,S,Sb",4,1.441999999999999,0.004927204999997,-0.178491079419645,5.317828429409702,14
mp-15077,Ag7AsS6,"Ag,As,S",3,0.7299000000000001,0.005543654107141,-0.125769721562499,5.62606129032458,56
mp-1197032,Ag7PS6,"Ag,P,S",3,0.9116,0.003478773392854,-0.193609917667942,5.564568604235669,56
mp-8594,Ag7PSe6,"Ag,P,Se",3,0.7841,0.0,-0.165708605167939,6.588463101896856,56
mp-9770,Ag8GeS6,"Ag,Ge,S",3,0.6102000000000001,0.0,-0.327256603055552,6.204443918976512,60
mp-1229180,Ag8Sb5As3S16,"Ag,As,S,Sb",4,1.0255,0.015493755703124,-0.200290888281251,5.107624690147718,32
mp-15645,Ag8SnS6,"Ag,S,Sn",3,0.535099999999999,0.0,-0.204963409791666,6.232772680959803,60
mp-1191037,AgAs(SeF2)3,"Ag,As,F,Se",4,1.6736,0.0,-1.6399032428361742,4.291903451511375,22
mp-557631,AgAs(XeF5)2,"Ag,As,F,Xe",4,1.4049,0.01257865589286,-1.6047670449404752,4.248135792778018,28
mp-37153,AgAsF6,"Ag,As,F",3,1.6805999999999992,0.0,-2.201692029895833,3.433120375475912,8
mp-22665,AgAsPbS3,"Ag,As,Pb,S",4,1.385999999999999,0.0,-0.49983294361111,5.493035443621214,24
mp-13740,AgAsS2,"Ag,As,S",3,1.4968,0.001087975624999,-0.157485410156247,4.454054201829025,24
mp-542609,AgAsS2,"Ag,As,S",3,1.577699999999999,0.010125154166667,-0.14844823161458,4.677417534671377,48
mp-570340,AgAuCl4,"Ag,Au,Cl",3,0.8406,0.0,-0.454436350000001,4.7987161874327935,12
mp-556434,AgBi(PS3)2,"Ag,Bi,P,S",4,1.183799999999999,0.0,-0.338825210782738,4.147865928609672,20
mp-569126,AgBi(PSe3)2,"Ag,Bi,P,Se",4,1.2778,0.0,-0.465881064501488,4.996191648875751,20
mp-558368,AgBi2S3Cl,"Ag,Bi,Cl,S",4,0.7834000000000001,0.00976725404762,-0.707342042023809,6.488452106603947,14
mp-569939,AgBi2Se3Cl,"Ag,Bi,Cl,Se",4,0.549999999999999,0.004053996428567,-0.495857170907746,7.148355822255248,14
mp-23474,AgBi3S5,"Ag,Bi,S",3,0.5262,0.0,-0.372202277673611,6.622904931039951,18
mp-35909,AgBiI4,"Ag,Bi,I",3,1.0457,0.041575271666667,-0.6252693061111111,5.41146151853963,12
mp-29678,AgBiS2,"Ag,Bi,S",3,0.5212,0.018920765416666,-0.289824409322921,6.992709640165616,4
mp-556094,AgBiSCl2,"Ag,Bi,Cl,S",4,1.0752,0.0,-0.945593287833334,5.553841211740978,10
mp-2034510,AgBr,"Ag,Br",2,1.244199999999999,0.000270794999998,-0.659350243333333,6.444861763269183,4
mp-23231,AgBr,"Ag,Br",2,0.730399999999999,0.0,-0.6596210383333321,6.444350901853476,2
mp-866291,AgBr,"Ag,Br",2,1.1708,0.03050537,-0.6291156683333321,5.1336931028898825,2
mp-1536202,AgCl,"Ag,Cl",2,0.7131999999999991,0.000369929999999,-0.568070003749999,5.58600467295847,4
mp-22922,AgCl,"Ag,Cl",2,0.9522,0.0,-0.568439933749999,5.582622712233539,2
mp-570687,AgCl,"Ag,Cl",2,0.8720000000000001,0.01127005,-0.5571698837499991,5.433843026115748,4
mp-567890,AgHg3As2Cl3,"Ag,As,Cl,Hg",4,0.7838,0.001369327037036,-0.412798547962964,6.4560127300474335,54
mp-6215,AgHgAsS3,"Ag,As,Hg,S",4,1.2453,0.0,-0.364428084027777,5.838973114425365,12
mp-560067,AgHgSBr,"Ag,Br,Hg,S",4,1.2604,0.0,-0.544299855416667,6.111590113044165,16
mp-23140,AgHgSI,"Ag,Hg,I,S",4,1.3584,0.0,-0.426432127916667,6.522150985455425,16
mp-558446,AgHgSI,"Ag,Hg,I,S",4,1.1391,0.001065505,-0.425366622916667,6.583453009080383,16
mp-22894,AgI,"Ag,I",2,1.3877000000000002,0.002613874999997,-0.465146023333334,5.492736317536004,4
mp-22925,AgI,"Ag,I",2,1.3674,0.002406555,-0.465353343333331,5.513316054259083,2
mp-567809,AgI,"Ag,I",2,1.5986,0.006419075,-0.461340823333332,5.868414368244994,4
mp-580941,AgI,"Ag,I",2,1.3759,0.0,-0.467759898333332,5.809898805745882,8
mp-684580,AgI,"Ag,I",2,1.3143,0.003858525,-0.463901373333332,5.320322248904008,2
mp-680482,AgMo6Br13,"Ag,Br,Mo",3,2.0242,0.011573592249998,-0.995895149583333,4.770656488176105,40
mp-1214988,AgMo6Cl13,"Ag,Cl,Mo",3,2.3227,0.0,-1.029996517375002,3.8447583807349393,40
mp-554766,AgP(XeF5)2,"Ag,F,P,Xe",4,1.3266,0.016416138035714,-1.801092190807823,4.077624378521106,28
