query_label,material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
Mo-Te,mp-19090,MnTeMoO6,"Mn,Mo,O,Te",4,1.721099999999999,0.019675073333321,-1.8678464282886331,4.747233400696306,18
Mo-Te,mp-551806,CoTeMoO6,"Co,Mo,O,Te",4,1.847299999999999,0.0,-1.670296165185186,5.015987140621791,18
Mo-Te,mp-558830,ZnTeMoO6,"Mo,O,Te,Zn",4,3.0952,0.013359836111116002,-1.7651720629629621,5.086003785571592,18
Mo-Te,mp-1198070,Ni3Te2MoO10,"Mo,Ni,O,Te",4,2.9872,0.0,-1.5507354220833331,4.90078504705274,64
Mo-Te,mp-1217532,Te4Mo(OF4)5,"F,Mo,O,Te",4,2.9326,0.007944994402778,-2.2239159315555552,3.614538963440559,60
Mo-Te,mp-540984,Te6Mo(OF5)6,"F,Mo,O,Te",4,2.7227,0.014070601482556,-2.232079582790698,3.6790705411633233,43
Mo-Te,mp-556092,Pr2Te4MoO14,"Mo,O,Pr,Te",4,3.266899999999999,0.0,-2.2219475714285712,5.193103754705985,42
Mo-Te,mp-561180,Nd2Te4MoO14,"Mo,Nd,O,Te",4,3.190399999999999,0.002636067261906,-2.228466196031745,5.28158837663388,42
Mo-Te,mp-2222262,MnTeMoO6,"Mn,Mo,O,Te",4,2.0261,0.026233048333320002,-1.861288453288633,4.80227244322216,18
Mo-Te,mp-1192126,Zn2TeMoO7,"Mo,O,Te,Zn",4,3.4519,0.0,-1.799333107878788,4.742398328320518,22
Mo-Te,mp-1201916,Y2Te3MoO12,"Mo,O,Te,Y",4,2.983599999999999,0.001137417306491,-2.367595069027778,5.294374499621402,72
Mo-Te,mp-558386,Ga2Te2MoO10,"Ga,Mo,O,Te",4,3.2165,0.0,-1.872631752555556,5.112420050252769,60
Mo-Te,mp-558484,Nd2Te3MoO12,"Mo,Nd,O,Te",4,3.0617,0.0,-2.353775973194444,5.663242850895584,72
Mo-Te,mp-560573,La2Te3MoO12,"La,Mo,O,Te",4,3.623,0.0,-2.380702466805556,5.190522277365734,72
Mo-Te,mp-1173622,Pr5Te7MoCl3O23,"Cl,Mo,O,Pr,Te",5,2.6886,0.0,-2.370805832179486,5.409611768337133,78
Mo-Te,mp-1173624,Nd5Te7MoCl3O23,"Cl,Mo,Nd,O,Te",5,2.6333,0.0,-2.377538887542735,5.531531246015599,78
Mo-Te,mp-558675,Sb2Te3MoC4(OF3)4,"C,F,Mo,O,Sb,Te",6,2.1121,0.20258860016827102,-1.813177091346153,3.542777857423306,104
Mo-Te,mp-1217418,Te4Mo2Ru,"Mo,Ru,Te",3,0.2499,0.0,-0.33823320714285704,7.338720298312815,14
Mo-Te,mp-1219145,Re(Te2Mo)2,"Mo,Re,Te",3,0.0,0.016233813214285003,-0.46600206416666706,8.130139055112906,14
Mo-Te,mp-1025629,Te6Mo2W,"Mo,Te,W",3,0.5741,0.018606944999994,-0.225158055555558,5.4340465712272135,9
Mo-Te,mp-1025649,Te6Mo2W,"Mo,Te,W",3,0.6132000000000001,0.00898545333333,-0.23477954722222302,5.324224330440056,9
Mo-Te,mp-1217513,Te15Mo2(Br6O)2,"Br,Mo,O,Te",4,0.1602,0.10222138717741801,-0.5474160277419351,4.93314860884866,31
Mo-Te,mp-1217517,Te15Mo2(Cl6O)2,"Cl,Mo,O,Te",4,0.132299999999999,0.076831207244624,-0.708994623548387,4.371740875410241,31
Mo-Te,mp-557988,Ni3TeMo2O11,"Mo,Ni,O,Te",4,2.6087,0.001599075147064,-1.6531619348039222,5.187704815959185,34
Mo-Te,mp-1203413,BaTeMo2O9,"Ba,Mo,O,Te",4,3.0136,0.011802890144223002,-2.150919276858974,5.054595970942989,104
Mo-Te,mp-19049,BaTeMo2O9,"Ba,Mo,O,Te",4,2.8794,0.012129591874991,-2.150592575128206,5.118940604557455,26
Mo-Te,mp-1233805,MgAg4Te8(MoO12)2,"Ag,Mg,Mo,O,Te",5,1.664099999999999,0.07874756358974401,-1.443185172435896,5.46875996550718,39
Mo-Te,mp-1233997,MgAg4Te8(MoO12)2,"Ag,Mg,Mo,O,Te",5,1.8893,0.070742796923077,-1.451189939102563,5.663216058427338,39
Mo-Te,mp-1234308,MgAg4Te8(MoO12)2,"Ag,Mg,Mo,O,Te",5,1.863499999999999,0.065095925897436,-1.456836810128204,5.546341663136759,39
Mo-Te,mp-2230229,MgMn2Te2(MoO6)2,"Mg,Mn,Mo,O,Te",5,1.093799999999999,0.093520869210526,-1.928668793378705,4.507293738400879,19
Mo-Te,mp-2230418,MgCo2Te2(MoO6)2,"Co,Mg,Mo,O,Te",5,1.0996,0.11483968907896501,-1.726034985701754,4.693059277641048,19
Mo-Te,mp-2230459,MgZn2Te2(MoO6)2,"Mg,Mo,O,Te,Zn",5,1.112699999999999,0.109323606499997,-1.832763492543859,4.739632397972704,19
Mo-Te,mp-2898219,MgAg4Te8(MoO12)2,"Ag,Mg,Mo,O,Te",5,0.9969999999999991,0.086650470641009,-1.222598203717949,6.066316522884499,39
Mo-Te,mp-1182595,BaTe2Mo2(HO6)2,"Ba,H,Mo,O,Te",5,3.0286,0.013550905921047001,-1.904601950833333,4.723983512551178,76
Mo-Te,mp-601377,BaTe2Mo2(HO6)2,"Ba,H,Mo,O,Te",5,3.0839,0.040189661578941,-1.8779631951754392,4.6439270173936755,76
Mo-Te,mp-2230560,MgMn2Te2(MoO6)2,"Mg,Mn,Mo,O,Te",5,1.045399999999999,0.09616541394736801,-1.926024248641864,4.475110923445257,19
Mo-Te,mp-2230577,MgZn2Te2(MoO6)2,"Mg,Mo,O,Te,Zn",5,1.070099999999999,0.10994983702631402,-1.832137262017544,4.721174579157233,19
Mo-Te,mp-2231165,MgCd2Te2(MoO6)2,"Cd,Mg,Mo,O,Te",5,0.13159999999999902,0.11483317315789401,-1.765072577807017,4.916145822897262,19
Mo-Te,mp-2231384,MgCo2Te2(MoO6)2,"Co,Mg,Mo,O,Te",5,1.0437,0.116394934342122,-1.7244797404385972,4.683561700513888,19
Mo-Te,mp-2230885,MgMn2Te2(MoO6)2,"Mg,Mn,Mo,O,Te",5,0.9408000000000001,0.183597723947367,-1.838591938641863,5.250137003073895,19
Mo-Te,mp-2231074,MgCd2Te2(MoO6)2,"Cd,Mg,Mo,O,Te",5,1.1448,0.21559957631578802,-1.6643061746491221,5.770263258121374,19
Mo-Te,mp-10447,Rb2TeMo2(PO7)2,"Mo,O,P,Rb,Te",5,3.0151,0.0,-2.263805293378684,3.8162251501701343,84
Mo-Te,mp-10448,Tl2TeMo2(PO7)2,"Mo,O,P,Te,Tl",5,2.8927,0.0,-2.064608524886646,5.356178498509502,84
Mo-Te,mp-1211929,K2TeMo2(PO7)2,"K,Mo,O,P,Te",5,2.9747,0.0,-2.261668612402494,3.775903155051231,84
Mo-Te,mp-2231146,MgCd2Te2(MoO6)2,"Cd,Mg,Mo,O,Te",5,0.6391999999999991,0.155202446315788,-1.724703304649122,4.602382826397892,19
Mo-Te,mp-2232008,MgMn2Te2(MoO6)2,"Mg,Mn,Mo,O,Te",5,0.8078000000000001,0.16662095921052603,-1.855568703378705,4.234689266774602,19
Mo-Te,mp-2230362,MgMn2Te2(MoO6)2,"Mg,Mn,Mo,O,Te",5,1.019,0.099066532368421,-1.92312313022081,4.489634901602251,19
Mo-Te,mp-2231309,MgCd2Te2(MoO6)2,"Cd,Mg,Mo,O,Te",5,1.0593,0.08594616105263,-1.79395958991228,4.9713351128239545,19
Mo-Te,mp-1226362,Cu6Te2Mo2H2Cl4O15,"Cl,Cu,H,Mo,O,Te",6,0.0,0.028721805846793003,-1.302225830026881,4.19739499320893,31
Mo-Te,mp-8601,Te4Mo3,"Mo,Te",2,0.0,0.0,-0.30248188428571304,7.163857356139552,14
Mo-Te,mp-1105024,Tl(TeMo)3,"Mo,Te,Tl",3,0.0,0.117504042045455,-0.28451402976190604,7.649601136112109,14
Mo-Te,mp-1030155,Te8Mo3W,"Mo,Te,W",3,0.552999999999999,0.006426711666669,-0.253239980416661,5.631996035518139,12
Mo-Te,mp-1030331,Te8Mo3W,"Mo,Te,W",3,0.527,0.006227795833336,-0.253438896249993,5.642015624828846,12
Mo-Te,mp-1103603,Na(TeMo)3,"Mo,Na,Te",3,0.0,0.168063928928571,-0.33391300035714205,5.742373651276969,14
Mo-Te,mp-1103956,K(TeMo)3,"K,Mo,Te",3,0.0,0.0,-0.589392469107143,6.125998775474405,14
