material_id,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason
mp-1228614,1.0,0.0,b,96,0,0,164,
mp-28348,,,,0,0,0,184,too_few_inplane_bonds
mp-861937,,,,0,0,0,32,too_few_inplane_bonds
mp-18309,1.0,0.0,b,96,0,0,144,
mp-16870,1.0,0.0,b,96,0,0,144,
mp-16904,1.0,0.0,b,96,0,0,144,
mp-1105698,,,,0,0,0,104,too_few_inplane_bonds
mp-1106127,1.0,0.0,c,56,56,0,104,
mp-1189860,1.0,0.0,c,56,56,0,102,
mp-1105790,,,,0,0,4,104,too_few_inplane_bonds
mp-1188122,1.0,0.0,c,56,56,0,104,
mp-1106146,1.0,0.0,c,56,56,0,102,
mp-1202506,,,,0,0,0,184,too_few_inplane_bonds
mp-1199946,,,,0,0,0,184,too_few_inplane_bonds
mp-1195309,,,,0,0,0,184,too_few_inplane_bonds
mp-1201906,,,,0,0,0,200,too_few_inplane_bonds
mp-1203584,,,,0,0,0,208,too_few_inplane_bonds
mp-1202829,,,,0,0,0,208,too_few_inplane_bonds
mp-1199702,1.0,0.0,b,64,0,0,328,
mp-1203806,,,,0,0,0,192,too_few_inplane_bonds
mp-1203387,,,,0,0,0,192,too_few_inplane_bonds
mp-1200935,,,,0,0,0,192,too_few_inplane_bonds
mp-1195574,1.0,0.0,b,64,0,0,328,
mp-29084,1.0,0.0,a,0,16,0,200,
mp-1190156,,,,0,0,0,104,too_few_inplane_bonds
mp-1105573,,,,0,0,0,104,too_few_inplane_bonds
mp-570803,1.0,0.0,c,16,4,0,80,
mp-18335,,,,0,0,0,184,too_few_inplane_bonds
mp-17885,,,,0,0,0,196,too_few_inplane_bonds
mp-8195,1.0,0.0,a,0,32,0,132,
mp-8194,1.0,0.0,a,0,28,0,120,
mp-540805,1.0,0.0,b,32,0,0,168,
mp-11902,1.0,0.0,c,6,16,0,82,
mp-1018651,,,,0,0,0,40,too_few_inplane_bonds
mp-9321,1.0,0.0,c,20,20,0,48,
mp-18008,1.0,0.0,b,96,0,0,144,
mp-1194545,,,,0,0,0,176,too_few_inplane_bonds
mp-1197611,,,,8,0,0,172,too_few_inplane_bonds
mp-864638,1.0,0.0,c,56,56,0,104,
mp-1105202,1.0,0.0,c,56,56,0,104,
mp-1193204,1.0,0.0,b,32,0,0,164,
mp-1189339,1.0,0.0,c,56,56,0,100,
mp-1203298,1.0,0.0,b,144,0,0,200,
mp-553874,1.0,0.0,c,16,16,0,76,
mp-16905,1.0,0.0,b,96,0,0,144,
mp-1205400,1.0,0.0,c,56,56,0,102,
mp-1105535,1.0,0.0,c,16,24,0,116,
mp-569613,1.0,0.0,c,16,20,0,112,
mp-1188687,1.0,0.0,c,16,24,0,116,
mp-27869,,,,0,0,0,24,too_few_inplane_bonds
mp-1228477,0.5,0.5,c,16,16,8,120,
mp-14406,,,,0,0,0,200,too_few_inplane_bonds
mp-862631,,,,0,0,0,32,too_few_inplane_bonds
mp-14447,1.0,0.0,c,8,16,0,84,
mp-14448,1.0,0.0,c,4,16,0,80,
mp-1189376,,,,0,0,0,104,too_few_inplane_bonds
mp-1189729,,,,0,0,0,104,too_few_inplane_bonds
mp-1188304,1.0,0.0,c,56,56,0,104,
mp-17918,1.0,0.0,c,16,16,0,136,
mp-541832,,,,4,0,0,156,too_few_inplane_bonds
mp-17805,1.0,0.0,c,16,16,0,136,
mp-1192595,,,,0,8,0,160,too_few_inplane_bonds
mp-1200486,,,,0,0,0,184,too_few_inplane_bonds
